,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
2,2023-08-28,20:45,Serie A,Matchweek 2,Mon,Home,L,0.0,2.0,Inter,0.6,0.9,33.0,16412.0,Leonardo Pavoletti,4-2-3-1,Michael Fabbri,Match Report,,12.0,2.0,17.8,0.0,0,0,2022,Cagliari
3,2023-09-02,18:30,Serie A,Matchweek 3,Sat,Away,L,1.0,2.0,Bologna,0.5,2.3,29.0,22818.0,Nahitan Nández,4-1-3-2,Daniele Orsato,Match Report,,7.0,1.0,20.7,1.0,0,0,2022,Cagliari
4,2023-09-17,12:30,Serie A,Matchweek 4,Sun,Home,D,0.0,0.0,Udinese,1.6,0.7,46.0,15121.0,Leonardo Pavoletti,3-5-2,Daniele Doveri,Match Report,,10.0,1.0,13.7,0.0,0,0,2022,Cagliari
5,2023-09-24,15:00,Serie A,Matchweek 5,Sun,Away,L,0.0,2.0,Atalanta,0.8,1.7,44.0,14739.0,Alessandro Deiola,3-5-2,Ermanno Feliciani,Match Report,,10.0,0.0,17.5,0.0,0,0,2022,Cagliari
6,2023-09-27,18:30,Serie A,Matchweek 6,Wed,Home,L,1.0,3.0,Milan,0.9,2.1,34.0,16348.0,Nahitan Nández,5-4-1,Federico La Penna,Match Report,,16.0,6.0,19.6,1.0,0,0,2022,Cagliari
7,2023-10-02,20:45,Serie A,Matchweek 7,Mon,Away,L,0.0,3.0,Fiorentina,0.8,1.2,40.0,27309.0,Alessandro Deiola,4-4-2,Marco Di Bello,Match Report,,6.0,3.0,12.6,0.0,0,0,2022,Cagliari
8,2023-10-08,18:00,Serie A,Matchweek 8,Sun,Home,L,1.0,4.0,Roma,1.7,2.6,57.0,16307.0,Nahitan Nández,3-5-2,Simone Sozza,Match Report,,15.0,1.0,18.3,1.0,1,1,2022,Cagliari
9,2023-10-22,15:00,Serie A,Matchweek 9,Sun,Away,D,2.0,2.0,Salernitana,1.7,1.5,51.0,17409.0,Alessandro Deiola,4-3-1-2,Daniele Chiffi,Match Report,,13.0,6.0,15.6,0.0,0,0,2022,Cagliari
10,2023-10-29,12:30,Serie A,Matchweek 10,Sun,Home,W,4.0,3.0,Frosinone,3.4,1.5,47.0,15946.0,Alessandro Deiola,4-3-2-1,Luca Pairetto,Match Report,,23.0,5.0,18.0,1.0,0,1,2022,Cagliari
12,2023-11-05,15:00,Serie A,Matchweek 11,Sun,Home,W,2.0,1.0,Genoa,0.9,1.0,42.0,16412.0,Marco Mancosu,4-3-1-2,Marco Guida,Match Report,,12.0,4.0,23.2,0.0,0,0,2022,Cagliari
13,2023-11-11,18:00,Serie A,Matchweek 12,Sat,Away,L,1.0,2.0,Juventus,0.6,2.3,51.0,39892.0,Nicolas Viola,4-2-3-1,Marco Piccinini,Match Report,,11.0,2.0,16.1,0.0,0,0,2022,Cagliari
14,2023-11-26,12:30,Serie A,Matchweek 13,Sun,Home,D,1.0,1.0,Monza,1.6,0.7,39.0,16291.0,Nicolas Viola,3-4-3,Matteo Marchetti,Match Report,,17.0,5.0,15.0,1.0,0,0,2022,Cagliari
15,2023-12-02,18:00,Serie A,Matchweek 14,Sat,Away,L,0.0,1.0,Lazio,0.6,2.0,40.0,37000.0,Gianluca Lapadula,3-4-1-2,Federico Dionisi,Match Report,,9.0,2.0,23.8,0.0,0,0,2022,Cagliari
16,2023-12-11,20:45,Serie A,Matchweek 15,Mon,Home,W,2.0,1.0,Sassuolo,1.1,0.8,60.0,15769.0,Nahitan Nández,4-4-1-1,Maurizio Mariani,Match Report,,18.0,5.0,17.9,0.0,0,0,2022,Cagliari
17,2023-12-16,18:00,Serie A,Matchweek 16,Sat,Away,L,1.0,2.0,Napoli,1.1,1.8,33.0,45000.0,Leonardo Pavoletti,4-4-2,Matteo Marcenaro,Match Report,,9.0,3.0,14.4,0.0,0,0,2022,Cagliari
18,2023-12-23,18:00,Serie A,Matchweek 17,Sat,Away,L,0.0,2.0,Hellas Verona,0.8,0.9,43.0,16716.0,Leonardo Pavoletti,3-4-1-2,Daniele Orsato,Match Report,,12.0,3.0,16.8,0.0,0,0,2022,Cagliari
19,2023-12-30,15:00,Serie A,Matchweek 18,Sat,Home,D,0.0,0.0,Empoli,1.8,0.3,50.0,16125.0,Leonardo Pavoletti,4-1-2-1-2◆,Fabio Maresca,Match Report,,13.0,2.0,15.7,0.0,0,1,2022,Cagliari
21,2024-01-06,18:00,Serie A,Matchweek 19,Sat,Away,D,1.0,1.0,Lecce,1.0,1.5,58.0,25203.0,Nahitan Nández,4-4-1-1,Davide Massa,Match Report,,14.0,2.0,23.4,2.0,0,0,2022,Cagliari
22,2024-01-14,15:00,Serie A,Matchweek 20,Sun,Home,W,2.0,1.0,Bologna,0.7,0.6,36.0,15980.0,Nahitan Nández,4-3-2-1,Gianluca Manganiello,Match Report,,5.0,2.0,27.7,1.0,0,0,2022,Cagliari
23,2024-01-21,12:30,Serie A,Matchweek 21,Sun,Away,L,1.0,3.0,Frosinone,0.6,2.8,40.0,,Nahitan Nández,3-5-2,Federico Dionisi,Match Report,,9.0,4.0,17.8,1.0,0,0,2022,Cagliari
24,2024-01-26,20:45,Serie A,Matchweek 22,Fri,Home,L,1.0,2.0,Torino,2.2,1.6,51.0,,Nahitan Nández,3-4-3,Andrea Colombo,Match Report,,25.0,9.0,14.1,1.0,0,0,2022,Cagliari
25,2024-02-05,20:45,Serie A,Matchweek 23,Mon,Away,L,0.0,4.0,Roma,0.6,2.5,47.0,61755.0,Nahitan Nández,3-5-2,Matteo Marcenaro,Match Report,,12.0,3.0,19.7,1.0,0,0,2022,Cagliari
26,2024-02-10,15:00,Serie A,Matchweek 24,Sat,Home,L,1.0,3.0,Lazio,0.8,1.3,45.0,,Alessandro Deiola,3-4-3,Marco Di Bello,Match Report,,13.0,6.0,21.1,0.0,0,0,2022,Cagliari
27,2024-02-18,15:00,Serie A,Matchweek 25,Sun,Away,D,1.0,1.0,Udinese,0.2,1.0,48.0,,Alessandro Deiola,4-4-1-1,Maurizio Mariani,Match Report,,5.0,2.0,18.2,1.0,0,0,2022,Cagliari
28,2024-02-25,15:00,Serie A,Matchweek 26,Sun,Home,D,1.0,1.0,Napoli,0.7,1.3,31.0,,Alessandro Deiola,4-4-1-1,Luca Pairetto,Match Report,,8.0,3.0,12.2,0.0,0,0,2022,Cagliari
29,2024-03-03,15:00,Serie A,Matchweek 27,Sun,Away,W,1.0,0.0,Empoli,0.6,1.4,44.0,,Alessandro Deiola,4-4-1-1,Antonio Rapuano,Match Report,,8.0,4.0,18.6,0.0,0,0,2022,Cagliari
30,2024-03-09,15:00,Serie A,Matchweek 28,Sat,Home,W,4.0,2.0,Salernitana,3.2,1.0,30.0,,Alessandro Deiola,4-4-1-1,Francesco Fourneau,Match Report,,12.0,7.0,12.5,0.0,0,0,2022,Cagliari
1,2023-08-20,20:45,Serie A,Matchweek 1,Sun,Home,W,2.0,1.0,Lazio,1.4,1.6,48.0,29081.0,Gabriel Strefezza,4-3-3,Federico Dionisi,Match Report,,23.0,7.0,20.4,1.0,0,0,2022,Lecce
2,2023-08-27,18:30,Serie A,Matchweek 2,Sun,Away,D,2.0,2.0,Fiorentina,0.3,1.3,41.0,34604.0,Gabriel Strefezza,4-3-3,Maria Sole Ferrieri Caputi,Match Report,,6.0,2.0,20.1,0.0,0,0,2022,Lecce
3,2023-09-03,20:45,Serie A,Matchweek 3,Sun,Home,W,2.0,0.0,Salernitana,1.7,1.1,46.0,28052.0,Federico Baschirotto,4-3-3,Luca Massimi,Match Report,,19.0,5.0,21.1,0.0,1,1,2022,Lecce
4,2023-09-17,15:00,Serie A,Matchweek 4,Sun,Away,D,1.0,1.0,Monza,0.9,2.2,39.0,13074.0,Federico Baschirotto,4-3-3,Livio Marinelli,Match Report,,3.0,2.0,22.4,0.0,1,1,2022,Lecce
5,2023-09-22,20:45,Serie A,Matchweek 5,Fri,Home,W,1.0,0.0,Genoa,0.9,0.3,56.0,27000.0,Gabriel Strefezza,4-3-3,Antonio Rapuano,Match Report,,18.0,3.0,22.4,1.0,0,0,2022,Lecce
6,2023-09-26,20:45,Serie A,Matchweek 6,Tue,Away,L,0.0,1.0,Juventus,0.1,1.4,50.0,37498.0,Gabriel Strefezza,4-3-3,Antonio Giua,Match Report,,2.0,0.0,18.2,0.0,0,0,2022,Lecce
7,2023-09-30,15:00,Serie A,Matchweek 7,Sat,Home,L,0.0,4.0,Napoli,0.5,2.5,44.0,27588.0,Gabriel Strefezza,4-3-3,Luca Pairetto,Match Report,,9.0,4.0,17.6,0.0,0,0,2022,Lecce
8,2023-10-06,20:45,Serie A,Matchweek 8,Fri,Home,D,1.0,1.0,Sassuolo,1.7,1.5,43.0,26160.0,Gabriel Strefezza,4-3-3,Juan Sacchi,Match Report,,13.0,4.0,15.2,0.0,0,0,2022,Lecce
9,2023-10-23,18:30,Serie A,Matchweek 9,Mon,Away,D,1.0,1.0,Udinese,0.8,2.1,54.0,20113.0,Gabriel Strefezza,4-3-3,Paride Tremolada,Match Report,,12.0,1.0,20.4,0.0,0,0,2022,Lecce
10,2023-10-28,18:00,Serie A,Matchweek 10,Sat,Home,L,0.0,1.0,Torino,0.5,0.8,49.0,26123.0,Federico Baschirotto,4-3-3,Gianluca Aureliano,Match Report,,11.0,6.0,19.0,0.0,0,0,2022,Lecce
12,2023-11-05,18:00,Serie A,Matchweek 11,Sun,Away,L,1.0,2.0,Roma,0.8,2.0,40.0,64790.0,Federico Baschirotto,4-3-3,Andrea Colombo,Match Report,,15.0,4.0,20.6,1.0,0,0,2022,Lecce
13,2023-11-11,15:00,Serie A,Matchweek 12,Sat,Home,D,2.0,2.0,Milan,1.4,1.1,45.0,26480.0,Gabriel Strefezza,4-3-3,Rosario Abisso,Match Report,,14.0,5.0,19.6,1.0,0,0,2022,Lecce
14,2023-11-27,18:30,Serie A,Matchweek 13,Mon,Away,D,2.0,2.0,Hellas Verona,1.0,1.7,51.0,16730.0,Alexis Blin,4-3-3,Federico La Penna,Match Report,,14.0,5.0,19.0,0.0,0,0,2022,Lecce
15,2023-12-03,12:30,Serie A,Matchweek 14,Sun,Home,D,1.0,1.0,Bologna,1.5,1.2,43.0,24326.0,Gabriel Strefezza,4-2-3-1,Daniele Doveri,Match Report,,13.0,3.0,21.8,0.0,1,1,2022,Lecce
16,2023-12-11,18:30,Serie A,Matchweek 15,Mon,Away,D,1.0,1.0,Empoli,0.8,1.4,44.0,7152.0,Federico Baschirotto,4-2-3-1,Andrea Colombo,Match Report,,14.0,5.0,23.2,0.0,0,0,2022,Lecce
17,2023-12-16,15:00,Serie A,Matchweek 16,Sat,Home,W,2.0,1.0,Frosinone,0.7,1.7,40.0,23645.0,Gabriel Strefezza,4-3-3,Luca Zufferli,Match Report,,17.0,6.0,21.1,0.0,0,0,2022,Lecce
18,2023-12-23,18:00,Serie A,Matchweek 17,Sat,Away,L,0.0,2.0,Inter,1.3,2.9,32.0,72723.0,Gabriel Strefezza,4-3-3,Matteo Marcenaro,Match Report,,11.0,5.0,20.2,0.0,0,0,2022,Lecce
19,2023-12-30,12:30,Serie A,Matchweek 18,Sat,Away,L,0.0,1.0,Atalanta,1.2,1.1,38.0,14864.0,Gabriel Strefezza,4-3-3,Gianluca Manganiello,Match Report,,15.0,2.0,21.9,0.0,0,0,2022,Lecce
20,2024-01-06,18:00,Serie A,Matchweek 19,Sat,Home,D,1.0,1.0,Cagliari,1.5,1.0,42.0,25203.0,Gabriel Strefezza,4-1-4-1,Davide Massa,Match Report,,15.0,2.0,16.0,0.0,0,0,2022,Lecce
21,2024-01-14,12:30,Serie A,Matchweek 20,Sun,Away,L,0.0,1.0,Lazio,1.1,0.9,48.0,40000.0,Federico Baschirotto,4-3-3,Maria Sole Ferrieri Caputi,Match Report,,11.0,3.0,15.6,0.0,0,0,2022,Lecce
22,2024-01-21,20:45,Serie A,Matchweek 21,Sun,Home,L,0.0,3.0,Juventus,0.6,2.1,51.0,,Federico Baschirotto,4-1-4-1,Daniele Doveri,Match Report,,12.0,3.0,21.9,0.0,0,0,2022,Lecce
23,2024-01-28,12:30,Serie A,Matchweek 22,Sun,Away,L,1.0,2.0,Genoa,1.8,1.7,51.0,,Federico Baschirotto,4-3-3,Luca Pairetto,Match Report,,18.0,4.0,19.8,2.0,0,1,2022,Lecce
24,2024-02-02,20:45,Serie A,Matchweek 23,Fri,Home,W,3.0,2.0,Fiorentina,2.6,1.1,44.0,,Alexis Blin,4-2-3-1,Antonio Giua,Match Report,,16.0,8.0,14.3,1.0,0,0,2022,Lecce
25,2024-02-11,15:00,Serie A,Matchweek 24,Sun,Away,L,0.0,4.0,Bologna,1.2,1.5,36.0,,Federico Baschirotto,4-3-3,Gianluca Manganiello,Match Report,,14.0,3.0,19.3,1.0,0,0,2022,Lecce
26,2024-02-16,19:00,Serie A,Matchweek 25,Fri,Away,L,0.0,2.0,Torino,0.5,1.2,41.0,,Alexis Blin,4-3-3,Giovanni Ayroldi,Match Report,,8.0,3.0,17.6,0.0,0,0,2022,Lecce
27,2024-02-25,18:00,Serie A,Matchweek 26,Sun,Home,L,0.0,4.0,Inter,1.0,2.9,39.0,,Alexis Blin,4-2-3-1,Daniele Doveri,Match Report,,14.0,2.0,16.8,0.0,0,0,2022,Lecce
28,2024-03-03,15:00,Serie A,Matchweek 27,Sun,Away,D,1.0,1.0,Frosinone,1.2,1.3,36.0,,Federico Baschirotto,4-2-3-1,Marco Guida,Match Report,,10.0,4.0,24.1,0.0,0,1,2022,Lecce
1,2023-08-19,18:30,Serie A,Matchweek 1,Sat,Home,L,0.0,1.0,Hellas Verona,0.7,0.5,48.0,7940.0,Sebastiano Luperto,4-2-3-1,Luca Massimi,Match Report,,10.0,4.0,22.8,2.0,0,0,2022,Empoli
2,2023-08-26,18:30,Serie A,Matchweek 2,Sat,Away,L,0.0,2.0,Monza,1.0,2.0,46.0,8155.0,Sebastiano Luperto,4-2-3-1,Gianluca Aureliano,Match Report,,18.0,6.0,18.8,0.0,0,0,2022,Empoli
3,2023-09-03,20:45,Serie A,Matchweek 3,Sun,Home,L,0.0,2.0,Juventus,0.3,2.7,50.0,15702.0,Sebastiano Luperto,4-3-3,Giovanni Ayroldi,Match Report,,7.0,0.0,21.2,0.0,0,0,2022,Empoli
4,2023-09-17,20:45,Serie A,Matchweek 4,Sun,Away,L,0.0,7.0,Roma,0.2,2.4,47.0,61443.0,Sebastiano Luperto,4-3-3,Juan Sacchi,Match Report,,8.0,2.0,23.0,0.0,0,0,2022,Empoli
5,2023-09-24,12:30,Serie A,Matchweek 5,Sun,Home,L,0.0,1.0,Inter,0.3,1.6,39.0,15651.0,Sebastiano Luperto,4-3-2-1,Matteo Marcenaro,Match Report,,7.0,1.0,21.2,1.0,0,0,2022,Empoli
6,2023-09-27,18:30,Serie A,Matchweek 6,Wed,Home,W,1.0,0.0,Salernitana,3.2,0.6,42.0,7979.0,Sebastiano Luperto,4-3-2-1,Antonio Rapuano,Match Report,,13.0,6.0,16.0,2.0,0,0,2022,Empoli
7,2023-10-01,12:30,Serie A,Matchweek 7,Sun,Away,L,0.0,3.0,Bologna,0.9,2.4,42.0,23689.0,Sebastiano Luperto,4-3-1-2,Fabio Maresca,Match Report,,12.0,4.0,15.9,1.0,0,0,2022,Empoli
8,2023-10-06,18:30,Serie A,Matchweek 8,Fri,Home,D,0.0,0.0,Udinese,1.3,0.7,60.0,7128.0,Sebastiano Luperto,4-3-2-1,Michael Fabbri,Match Report,,18.0,3.0,17.6,0.0,0,0,2022,Empoli
9,2023-10-23,20:45,Serie A,Matchweek 9,Mon,Away,W,2.0,0.0,Fiorentina,1.5,1.0,29.0,43147.0,Sebastiano Luperto,4-3-2-1,Federico Dionisi,Match Report,,7.0,3.0,12.5,0.0,0,0,2022,Empoli
10,2023-10-30,18:30,Serie A,Matchweek 10,Mon,Home,L,0.0,3.0,Atalanta,0.3,1.6,44.0,7825.0,Sebastiano Luperto,4-3-3,Luca Massimi,Match Report,,9.0,2.0,27.2,0.0,0,0,2022,Empoli
11,2023-11-06,18:30,Serie A,Matchweek 11,Mon,Away,L,1.0,2.0,Frosinone,1.5,0.8,36.0,13229.0,Sebastiano Luperto,4-3-3,Gianluca Manganiello,Match Report,,10.0,2.0,15.8,0.0,0,0,2022,Empoli
12,2023-11-12,12:30,Serie A,Matchweek 12,Sun,Away,W,1.0,0.0,Napoli,0.5,0.9,35.0,50500.0,Sebastiano Luperto,4-3-3,Alessandro Prontera,Match Report,,8.0,3.0,18.8,0.0,0,0,2022,Empoli
13,2023-11-26,15:00,Serie A,Matchweek 13,Sun,Home,L,3.0,4.0,Sassuolo,1.4,2.3,49.0,9954.0,Sebastiano Luperto,4-3-3,Simone Sozza,Match Report,,10.0,6.0,16.2,0.0,1,1,2022,Empoli
14,2023-12-02,15:00,Serie A,Matchweek 14,Sat,Away,D,1.0,1.0,Genoa,0.8,1.0,50.0,30747.0,Sebastiano Luperto,4-3-3,Gianluca Aureliano,Match Report,,9.0,1.0,24.0,0.0,0,0,2022,Empoli
15,2023-12-11,18:30,Serie A,Matchweek 15,Mon,Home,D,1.0,1.0,Lecce,1.4,0.8,56.0,7152.0,Sebastiano Luperto,4-3-3,Andrea Colombo,Match Report,,18.0,6.0,16.6,2.0,0,0,2022,Empoli
16,2023-12-16,20:45,Serie A,Matchweek 16,Sat,Away,L,0.0,1.0,Torino,0.3,1.1,47.0,17815.0,Sebastiano Luperto,4-3-1-2,Livio Marinelli,Match Report,,7.0,2.0,21.3,1.0,0,0,2022,Empoli
17,2023-12-22,18:30,Serie A,Matchweek 17,Fri,Home,L,0.0,2.0,Lazio,0.8,2.3,54.0,8800.0,Sebastiano Luperto,4-3-3,Matteo Marchetti,Match Report,,21.0,7.0,24.3,3.0,0,0,2022,Empoli
18,2023-12-30,15:00,Serie A,Matchweek 18,Sat,Away,D,0.0,0.0,Cagliari,0.3,1.8,50.0,16125.0,Sebastiano Luperto,4-3-1-2,Fabio Maresca,Match Report,,5.0,1.0,17.7,0.0,0,0,2022,Empoli
19,2024-01-07,12:30,Serie A,Matchweek 19,Sun,Home,L,0.0,3.0,Milan,0.9,1.7,35.0,15009.0,Sebastiano Luperto,4-3-1-2,Federico La Penna,Match Report,,17.0,2.0,19.1,2.0,0,0,2022,Empoli
20,2024-01-13,18:00,Serie A,Matchweek 20,Sat,Away,L,1.0,2.0,Hellas Verona,0.8,0.8,60.0,28723.0,Sebastiano Luperto,4-3-3,Daniele Doveri,Match Report,,14.0,1.0,21.6,1.0,0,0,2022,Empoli
21,2024-01-21,15:00,Serie A,Matchweek 21,Sun,Home,W,3.0,0.0,Monza,1.3,0.8,28.0,,Sebastiano Luperto,3-5-2,Antonio Giua,Match Report,,9.0,5.0,16.2,0.0,0,0,2022,Empoli
22,2024-01-27,18:00,Serie A,Matchweek 22,Sat,Away,D,1.0,1.0,Juventus,0.8,0.8,60.0,,Sebastiano Luperto,3-5-2,Livio Marinelli,Match Report,,16.0,5.0,19.8,2.0,0,0,2022,Empoli
23,2024-02-03,15:00,Serie A,Matchweek 23,Sat,Home,D,0.0,0.0,Genoa,0.6,0.6,49.0,,Sebastiano Luperto,3-4-3,Ermanno Feliciani,Match Report,,15.0,4.0,19.6,0.0,0,0,2022,Empoli
24,2024-02-09,20:45,Serie A,Matchweek 24,Fri,Away,W,3.0,1.0,Salernitana,2.2,0.9,39.0,,Sebastiano Luperto,3-4-3,Maurizio Mariani,Match Report,,16.0,2.0,17.0,0.0,1,1,2022,Empoli
25,2024-02-18,15:00,Serie A,Matchweek 25,Sun,Home,D,1.0,1.0,Fiorentina,1.0,0.7,40.0,,Sebastiano Luperto,3-4-3,Luca Pairetto,Match Report,,4.0,3.0,25.6,0.0,1,1,2022,Empoli
26,2024-02-24,15:00,Serie A,Matchweek 26,Sat,Away,W,3.0,2.0,Sassuolo,2.0,1.7,46.0,,Sebastiano Luperto,3-4-3,Gianluca Aureliano,Match Report,,12.0,5.0,16.7,1.0,1,1,2022,Empoli
27,2024-03-03,15:00,Serie A,Matchweek 27,Sun,Home,L,0.0,1.0,Cagliari,1.4,0.6,56.0,,Sebastiano Luperto,4-3-2-1,Antonio Rapuano,Match Report,,16.0,3.0,12.3,0.0,0,0,2022,Empoli
1,2023-08-20,20:45,Serie A,Matchweek 1,Sun,Home,L,0.0,3.0,Juventus,1.0,1.8,49.0,24911.0,Walace,3-5-2,Antonio Rapuano,Match Report,,18.0,5.0,22.8,1.0,0,0,2022,Udinese
2,2023-08-28,18:30,Serie A,Matchweek 2,Mon,Away,D,1.0,1.0,Salernitana,0.8,0.5,44.0,20000.0,Walace,3-5-2,Davide Massa,Match Report,,14.0,6.0,21.3,1.0,0,0,2022,Udinese
3,2023-09-02,18:30,Serie A,Matchweek 3,Sat,Home,D,0.0,0.0,Frosinone,1.5,1.8,47.0,20116.0,Walace,3-5-2,Marco Guida,Match Report,,12.0,6.0,16.4,1.0,0,0,2022,Udinese
4,2023-09-17,12:30,Serie A,Matchweek 4,Sun,Away,D,0.0,0.0,Cagliari,0.7,1.6,54.0,15121.0,Walace,3-5-2,Daniele Doveri,Match Report,,11.0,1.0,13.2,0.0,0,0,2022,Udinese
5,2023-09-24,15:00,Serie A,Matchweek 5,Sun,Home,L,0.0,2.0,Fiorentina,2.2,0.5,49.0,21229.0,Walace,3-5-2,Daniele Chiffi,Match Report,,20.0,8.0,14.6,1.0,0,0,2022,Udinese
6,2023-09-27,20:45,Serie A,Matchweek 6,Wed,Away,L,1.0,4.0,Napoli,0.7,3.3,34.0,45305.0,Walace,3-5-2,Gianluca Manganiello,Match Report,,13.0,3.0,19.3,0.0,0,0,2022,Udinese
7,2023-10-01,15:00,Serie A,Matchweek 7,Sun,Home,D,2.0,2.0,Genoa,1.3,0.8,59.0,20805.0,Roberto Pereyra,3-5-2,Maurizio Mariani,Match Report,,11.0,2.0,17.1,1.0,0,0,2022,Udinese
8,2023-10-06,18:30,Serie A,Matchweek 8,Fri,Away,D,0.0,0.0,Empoli,0.7,1.3,40.0,7128.0,Roberto Pereyra,3-5-2,Michael Fabbri,Match Report,,11.0,1.0,18.4,0.0,0,0,2022,Udinese
9,2023-10-23,18:30,Serie A,Matchweek 9,Mon,Home,D,1.0,1.0,Lecce,2.1,0.8,46.0,20113.0,Roberto Pereyra,3-5-2,Paride Tremolada,Match Report,,11.0,4.0,18.4,1.0,1,1,2022,Udinese
10,2023-10-29,15:00,Serie A,Matchweek 10,Sun,Away,D,1.0,1.0,Monza,1.1,0.5,39.0,10311.0,Roberto Pereyra,3-5-2,Alessandro Prontera,Match Report,,10.0,3.0,18.6,0.0,0,0,2022,Udinese
12,2023-11-04,20:45,Serie A,Matchweek 11,Sat,Away,W,1.0,0.0,Milan,1.4,0.9,28.0,71018.0,Roberto Pereyra,3-5-2,Juan Sacchi,Match Report,,11.0,1.0,18.9,1.0,1,1,2022,Udinese
13,2023-11-12,15:00,Serie A,Matchweek 12,Sun,Home,D,1.0,1.0,Atalanta,1.5,0.7,35.0,23100.0,Roberto Pereyra,3-5-1-1,Gianluca Aureliano,Match Report,,12.0,4.0,23.6,0.0,0,1,2022,Udinese
14,2023-11-26,18:00,Serie A,Matchweek 13,Sun,Away,L,1.0,3.0,Roma,0.5,1.4,36.0,61015.0,Walace,3-5-2,Luca Massimi,Match Report,,6.0,2.0,20.2,0.0,0,0,2022,Udinese
15,2023-12-03,15:00,Serie A,Matchweek 14,Sun,Home,D,3.0,3.0,Hellas Verona,1.9,1.3,40.0,22294.0,Roberto Pereyra,3-5-1-1,Fabio Maresca,Match Report,,12.0,6.0,15.5,1.0,0,0,2022,Udinese
16,2023-12-09,20:45,Serie A,Matchweek 15,Sat,Away,L,0.0,4.0,Inter,0.8,3.5,26.0,71874.0,Roberto Pereyra,3-5-1-1,Marco Di Bello,Match Report,,11.0,1.0,20.1,0.0,0,0,2022,Udinese
17,2023-12-17,15:00,Serie A,Matchweek 16,Sun,Home,D,2.0,2.0,Sassuolo,0.8,3.0,33.0,20490.0,Roberto Pereyra,3-5-2,Gianluca Manganiello,Match Report,,9.0,7.0,17.0,0.0,0,0,2022,Udinese
18,2023-12-23,15:00,Serie A,Matchweek 17,Sat,Away,D,1.0,1.0,Torino,0.9,1.0,38.0,23546.0,Roberto Pereyra,3-5-2,Michael Fabbri,Match Report,,10.0,4.0,15.5,0.0,0,0,2022,Udinese
19,2023-12-30,15:00,Serie A,Matchweek 18,Sat,Home,W,3.0,0.0,Bologna,1.1,0.9,27.0,24786.0,Roberto Pereyra,3-5-1-1,Daniele Orsato,Match Report,,15.0,7.0,19.8,0.0,0,0,2022,Udinese
20,2024-01-07,15:00,Serie A,Matchweek 19,Sun,Home,L,1.0,2.0,Lazio,0.7,0.5,47.0,23033.0,Roberto Pereyra,3-5-1-1,Juan Sacchi,Match Report,,13.0,2.0,19.8,1.0,0,0,2022,Udinese
21,2024-01-14,18:00,Serie A,Matchweek 20,Sun,Away,D,2.0,2.0,Fiorentina,1.2,1.3,31.0,23686.0,Roberto Pereyra,3-5-1-1,Luca Pairetto,Match Report,,12.0,6.0,17.9,2.0,0,0,2022,Udinese
22,2024-01-20,20:45,Serie A,Matchweek 21,Sat,Home,L,2.0,3.0,Milan,0.6,2.6,31.0,,Roberto Pereyra,3-5-1-1,Fabio Maresca,Match Report,,11.0,6.0,20.8,0.0,0,0,2022,Udinese
23,2024-01-27,15:00,Serie A,Matchweek 22,Sat,Away,L,0.0,2.0,Atalanta,0.6,1.1,42.0,,Walace,3-5-1-1,Marco Piccinini,Match Report,,13.0,5.0,24.8,1.0,0,0,2022,Udinese
24,2024-02-03,15:00,Serie A,Matchweek 23,Sat,Home,D,0.0,0.0,Monza,0.9,0.1,47.0,,Roberto Pereyra,3-5-1-1,Alessandro Prontera,Match Report,,21.0,6.0,20.3,0.0,0,0,2022,Udinese
25,2024-02-12,20:45,Serie A,Matchweek 24,Mon,Away,W,1.0,0.0,Juventus,0.7,1.7,30.0,,Walace,3-5-1-1,Rosario Abisso,Match Report,,8.0,1.0,18.2,2.0,0,0,2022,Udinese
26,2024-02-18,15:00,Serie A,Matchweek 25,Sun,Home,D,1.0,1.0,Cagliari,1.0,0.2,52.0,,Walace,3-5-1-1,Maurizio Mariani,Match Report,,17.0,3.0,19.6,1.0,0,0,2022,Udinese
27,2024-02-24,20:45,Serie A,Matchweek 26,Sat,Away,L,0.0,2.0,Genoa,0.3,1.3,35.0,,Walace,3-5-1-1,Francesco Fourneau,Match Report,,5.0,1.0,15.5,0.0,0,0,2022,Udinese
28,2024-03-02,15:00,Serie A,Matchweek 27,Sat,Home,D,1.0,1.0,Salernitana,1.8,1.1,50.0,,Walace,3-5-1-1,Gianluca Manganiello,Match Report,,18.0,5.0,14.8,1.0,0,0,2022,Udinese
1,2023-08-19,18:30,Serie A,Matchweek 1,Sat,Home,L,1.0,3.0,Napoli,0.9,1.5,48.0,15822.0,Luca Mazzitelli,4-3-3,Matteo Marcenaro,Match Report,,3.0,0.0,25.4,1.0,1,1,2022,Frosinone
2,2023-08-26,18:30,Serie A,Matchweek 2,Sat,Home,W,2.0,1.0,Atalanta,0.7,1.6,37.0,13426.0,Luca Mazzitelli,4-2-3-1,Juan Sacchi,Match Report,,13.0,5.0,18.8,0.0,0,0,2022,Frosinone
3,2023-09-02,18:30,Serie A,Matchweek 3,Sat,Away,D,0.0,0.0,Udinese,1.8,1.5,53.0,20116.0,Luca Mazzitelli,4-2-3-1,Marco Guida,Match Report,,12.0,1.0,12.6,0.0,0,0,2022,Frosinone
